Serial Number,Document Type,Year,Title,Abstract,Authors,Source,GPT Primary,GPT Primary Desc,GPT Secondary,GPT Tertiary,GPT Reasoning,Claude Primary,Claude Primary Desc,Claude Secondary,Claude Tertiary,Claude Reasoning
P3153,paper,2002,Ferrohydrodynamics in time-varying magnetic fields,"Measurements of magnetic-field-induced ferrofluid flow and torque in uniform rotating magnetic fields are presented and compared to theoretical analyses in order to understand observed paradoxical behavior. The viscous torque from this fluid flow is measured using a cylindrical Couette viscometer, as a function of magnetic field amplitude, frequency, and direction of rotation. The first set of experiments measures the torque on the outer wall of a polycarbonate spindle that is attached to a viscometer, which functions as a torque meter. The spindle is immersed in the ferrofluid, which is centered in the gap of a three-phase AC 2-pole motor stator winding. Anomalous behavior, such as negative effective viscosity, is demonstrated and discussed. The second set of experiments measures the viscous torque on the inner wall of a hollow spindle attached to the torque meter and filled completely with ferrofluid so that there is no free surface. These measurements show that magnetic fluid effects arise even in the absence of free surfaces. These observations are then shown to agree with a recently derived analysis of spin-up flow in ferrofluids. Copyright © 2002 by ASME.","[""Rinaldi C.; Lee J.-H.; Rosenthal A.D.; Franklin T.; Zahn M.""]","ASME International Mechanical Engineering Congress and Exposition, Proceedings",14,Material > Evaluation / Characterization,45,25,"The abstract primarily focuses on the evaluation and characterization of ferrofluid behavior under magnetic fields, which aligns with code 14. The experiments involve measuring viscous torque and flow, relevant to flow dynamics, thus code 45 is appropriate as a secondary classification. The theoretical analysis and comparison with experimental results suggest an involvement of flow modeling, justifying code 25 as the tertiary classification.",37,Experimentation > Other than evaluation indicated in class 14,25,45,Primary 37: This is clearly experimental work measuring torque and flow behavior using specialized viscometer equipment. Secondary 25: The research involves computational flow analysis and theoretical comparison with spin-up flow models. Tertiary 45: The application focus is on understanding ferrofluid flow phenomena under rotating magnetic fields.
P3155,paper,2002,Magnetic properties of Fe-Zn ferrite substituted ferrofluids,In the present paper ZnxFe1-xFe2O 4 nanoparticles were synthesized to achieve a low Curie temperature magnetic fluid with moderately high value of magnetization for use in energy conversion devices. Certain structural and magnetic properties of these ferrites are studied and discussed in detail. © 2002 Elsevier Science B.V. All rights reserved.,"[""Kinnari P.; Upadhyay R.V.; Mehta R.V.""]",Journal of Magnetism and Magnetic Materials,13,Material > Properties,14,38,"The abstract focuses on the synthesis of ZnxFe1-xFe2O4 nanoparticles with specific magnetic properties, indicating a primary focus on 'Properties' (13). The mention of studying and discussing structural and magnetic properties suggests 'Evaluation / Characterization' (14) as a secondary focus. The application in energy conversion devices implies relevance to 'Using principles of magnetic induction' (38) as a tertiary focus.",11,Material > Chemistry,13,38,"The abstract focuses on synthesizing ZnxFe1-xFe2O4 nanoparticles (chemistry - code 11), studying their structural and magnetic properties (properties - code 13), and mentions their intended use in energy conversion devices which relates to magnetic induction applications (code 38)."
P3160,paper,2002,In vitro toxicity of magnetic fluids evaluated for macrophage cell lines,"To determine macrophage cell lines, the analysis of in vitro toxicity of magnetic fluids was discussed. Ferrofluid-dimercaptosuccinic acid (FFDMSA) and dextran-coated ferrofluid (FFDX) were used to determine the viability of the cells. The color of ferrofluids adsorbed or internalized inside the cells impaired the use of metabolic tests based on the production of a chromogen. It was found that the FFDMSA showed a dramatic effect on cell growth whereas FFDX showed a limited toxicity even at high concentration , as compared to the FFDMSA.","[""Sestier C.; Lacava Z.G.M.; Lacava L.M.; Da Silva M.F.; Azevedo R.B.; Buske N.; Gansau C.; Morais P.C.; Silva O.; Pelegrini F.; Sabolovic D.""]",Journal of Magnetism and Magnetic Materials,14,Material > Evaluation / Characterization,42,40,"The abstract primarily discusses the evaluation and characterization of ferrofluids in terms of their toxicity on macrophage cell lines, which aligns with code 14. The context of the study is biomedical, as it involves cell viability and toxicity, justifying code 42 as secondary. The mention of toxicity and cell growth effects suggests potential medical applications, such as drug delivery or cancer treatment, which aligns with code 40 as tertiary.",42,Application > Biomedical,14,40,"Primary 42 (Biomedical) because the study focuses on in vitro toxicity analysis of ferrofluids on macrophage cell lines, which is fundamentally biomedical research. Secondary 14 (Evaluation/Characterization) as the work involves systematic evaluation and characterization of two different ferrofluid formulations (FFDMSA and FFDX) for their biological effects. Tertiary 40 (Medical - Hyperthermia, Cancer, Drug Delivery) since toxicity assessment of ferrofluids is essential for their potential medical applications."
P3162,paper,2002,Crumpled wires in two dimensions,Geometric and statistical properties of wires injected into a two-dimensional cavity with three different injection geometries are investigated. Complex patterns of folds are observed and studied as a function of the length of the wire. The mass-size relation and the distribution function [formula presented] of loops with internal area s formed as a consequence of the folded structure of the wire are examined. Several scaling laws are found and a hierarchical model is introduced to explain the experimental behavior observed in this two-dimensional crumpling process. © 2002 The American Physical Society.,"[""Donato C.C.; Gomes M.A.F.; de Souza R.E.""]","Physical Review E - Statistical Physics, Plasmas, Fluids, and Related Interdisciplinary Topics",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",37,14,"The abstract discusses the geometric and statistical properties of wires in a two-dimensional cavity, focusing on patterns and scaling laws. This aligns with code 49, which includes physics and engineering aspects. Code 37 is relevant as the study involves experimental investigation of patterns, which is not directly related to evaluation or characterization as per class 14. Code 14 is included as tertiary because the study involves characterizing the properties of the wire patterns, albeit not directly related to ferrofluids.",24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",27,28,"The abstract describes mathematical modeling of geometric patterns, scaling laws, and hierarchical models for wire folding behavior, which fits computational modeling (24). The general modeling aspects and stability/pattern analysis align with codes 27 and 28. This appears to be theoretical/computational physics research rather than ferrofluid-specific work."
P3163,paper,2002,Susceptibility measurements on a fractionated aggregate-free ferrofluid,"The concentration dependence of the susceptibility of aggregate-free ferrofluids was investigated. The ferrofluids consisted of oleic-acid-grafted magnetite particles in cyclohexane. One of the samples contained strongly interacting particles (interaction strength of approximately 5kT). Qualitatively, the measurements are in agreement with theoretical predictions on dipolar hard-sphere fluids: dipolar interactions raise the susceptibility above the ideal (Langevin) susceptibility, and when plotted as a function of the Langevin (ideal) susceptibility, the measurements on the two samples are very similar. Quantitatively, theoretical predictions overestimate the experimental susceptibilities at higher ferrofluid concentrations.","[""Van Ewijk G.A.; Vroege G.J.; Philipse A.P.""]",Journal of Physics Condensed Matter,13,Material > Properties,24,14,"The abstract focuses on the properties of ferrofluids, specifically the susceptibility in relation to concentration, which aligns with code 13 (Properties). The discussion of theoretical predictions and their comparison to experimental results suggests a computational aspect, particularly in modeling susceptibility, which aligns with code 24 (Modelling - Susceptibility). The investigation of susceptibility and its agreement with theoretical predictions indicates an evaluation or characterization aspect, aligning with code 14 (Evaluation / Characterization).",14,Material > Evaluation / Characterization,24,13,"Primary: 14 (Evaluation/Characterization) - the study investigates and measures susceptibility properties of ferrofluids through experimental characterization. Secondary: 24 (Modelling - Susceptibility) - theoretical predictions on dipolar hard-sphere fluids are compared with measurements, specifically focusing on susceptibility modeling. Tertiary: 13 (Properties) - the research examines fundamental magnetic properties (susceptibility) and particle interactions in ferrofluids."
P3166,paper,2002,Dependence on the temperature of the activation energy in the dielectric relaxation processes for ferrofluids in low-frequency field,"We have calculated the dependence on temperature of the activation energy, in the dielectric relaxation processes for a ferrofluid with magnetite particles, in low-frequency field, using the Schwarz model. The results distinguished that increasing the temperature, the activation energy decreases. © 2002 Elsevier Science B.V. All rights reserved.","[""Malaescu I.; Marin C.N.""]",Journal of Magnetism and Magnetic Materials,13,Material > Properties,24,14,"The abstract focuses on the properties of ferrofluids, specifically the temperature dependence of activation energy in dielectric relaxation processes, which aligns with code 13 (Properties). The use of the Schwarz model to calculate these dependencies suggests a computational modeling approach, aligning with code 24 (Modelling). The study involves evaluating the activation energy, which relates to characterization, aligning with code 14 (Evaluation / Characterization).",24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",13,14,"The abstract describes theoretical calculations using the Schwarz model to determine temperature-dependent activation energy in dielectric relaxation processes, which is computational modeling (24). The work investigates material properties related to dielectric behavior (13) and involves characterization of ferrofluid behavior under specific conditions (14)."
P3176,paper,2002,Shear-excited sound in magnetic fluid,"An attempt is made to address the fact that oscillatory shear motion of a wall in ferrofluids will excite sound, which may be picked up by a microphone positioned at the opposite end of the liquid container. Three simplifications are employed for this purpose: weak magnetic field, hydrodynamic regime, and adiabaticity of sound propagation and shear diffusion.","[""M\u00fcller H.W.; Liu M.""]",Physical Review Letters,45,Application > Flow,13,49,"The abstract discusses the excitation of sound due to oscillatory shear motion in ferrofluids, which relates to the flow dynamics of the fluid, making 'Flow' (45) the primary classification. The mention of weak magnetic fields and hydrodynamic regime suggests an interest in the properties of the ferrofluid, justifying 'Properties' (13) as the secondary classification. The study involves sound propagation and shear diffusion, which can be linked to the physics and engineering aspects of ferrofluids, supporting 'Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF' (49) as the tertiary classification.",24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",25,13,"The abstract describes theoretical modeling of sound generation from oscillatory shear motion in ferrofluids under specific assumptions (weak magnetic field, hydrodynamic regime, adiabatic conditions), which fits code 24 for theoretical modeling. The focus on shear flow dynamics makes code 25 (Flow) secondary. The investigation of acoustic properties under these conditions relates to material properties characterization, making code 13 tertiary."
P3177,paper,2002,Magnetic behaviour of Mn0.6Fe0.4Fe2O4 nanoparticles in ferrofluid at low temperatures,"The temperature dependence of saturation magnetisation of non-interacting Mn0.6Fe0.4Fe2O4 nanoparticles, coated with oleic acid and dispersed in kerosene, differs significantly from that of bulk ferrite. When the temperature decreases from 300 to 90K, the relative increase of the saturation magnetisation of the nanoparticles system is 55.80% as opposed to only 20.98%, the relative increase of the saturation magnetisation of the bulk ferrite. The difference of approximately 35% is due to the increase of the mean magnetic diameter (attached to the core of aligned spins), from 10.87 to 11.85nm, as a result of the modification of the superexchange interaction from the nanoparticle shell. Compared to the nanoparticles without surfactant, the T3/2 law is verified down to the room temperature, but having a parameter dependent on temperature. In this case, we suggest a core-shell model in agreement with the experimental results. At low temperatures, the magnetisation shows hysteresis as a result of magnetic relaxation processes. © 2002 Elsevier Science B.V. All rights reserved.","[""Caizer C.""]",Journal of Magnetism and Magnetic Materials,13,Material > Properties,14,37,"The abstract primarily discusses the properties of Mn0.6Fe0.4Fe2O4 nanoparticles, specifically the temperature dependence of saturation magnetisation, which aligns with code 13 (Properties). The mention of experimental results and a core-shell model suggests characterization, aligning with code 14 (Evaluation / Characterization). The focus on experimental observations, such as hysteresis and magnetic relaxation processes, supports code 37 (Other than evaluation indicated in class 14) as a tertiary classification.",14,Material > Evaluation / Characterization,13,24,"Primary (14): The abstract focuses on evaluation and characterization of magnetic properties through temperature-dependent saturation magnetization measurements. Secondary (13): The study investigates fundamental magnetic properties of nanoparticles including saturation magnetization, magnetic diameter, and hysteresis behavior. Tertiary (24): A core-shell model is proposed to explain the experimental results, involving theoretical modeling of magnetic behavior."
P3179,paper,2002,"Lyotropic ferronematic liquid crystals based on new Ni, Cu and Zn ionic magnetic fluids","The properties of lyotropic ferronematic liquid crystals based on new Ni, Cu and Zn ionic magnetic fluids are discussed. The efficiency of these new ferrofluids in the lyotropic nematic liquid crystal doping is verified and compared with the conventional surfacted ferrofluid lyotropic doping. It was observed that the structural characteristics of the lyotropics and ferrofluids determine the good formation of the ferronematics.","[""Matuo C.Y.; Tourinho F.A.; Souza M.H.; Depeyrot J.; Figueiredo Neto A.M.""]",Brazilian Journal of Physics,13,Material > Properties,14,12,"The abstract primarily discusses the properties of lyotropic ferronematic liquid crystals, which aligns with code 13 (Properties). The evaluation and comparison of these new ferrofluids with conventional ones suggest a focus on characterization, aligning with code 14 (Evaluation / Characterization). The mention of new Ni, Cu, and Zn ionic magnetic fluids indicates a focus on formulation, aligning with code 12 (Formulation).",12,Material > Formulation,13,14,"The abstract focuses on formulation of new ferrofluid compositions (Ni, Cu, Zn ionic magnetic fluids) for lyotropic ferronematic liquid crystals (code 12). It discusses properties and efficiency comparison of these formulations (code 13), and involves evaluation/characterization of structural characteristics and formation quality (code 14)."
P3195,paper,2002,Thermodynamic (in)stability of ferrofluid-polymer mixtures,"The phase behavior of mixtures of ferrofluid and non-adsorbing polymer is studied using a combination of a perturbation theory for dipolar spheres and a mean field theory for colloid-polymer mixtures. The polymer is used to induce an effective isotropic attraction with tunable strength and range. It was found that for typical ferrofluids, dipolar interaction only weakly affects the stability of the mixture; isotropic attraction dominates the phase behavior. This conclusion is supported by measurements on a real ferrofluid-polymer mixture. © 2002 Elsevier Science B.V. All rights reserved.","[""Van Ewijk G.A.; Vroege G.J.; Kuipers B.W.M.; Philipse A.P.""]",Journal of Magnetism and Magnetic Materials,28,Computation > Stability and other,24,13,"The abstract primarily discusses the phase behavior and stability of ferrofluid-polymer mixtures, which relates to stability and phase behavior (28). The use of perturbation theory and mean field theory indicates a focus on modeling and theoretical analysis (24). The study of phase behavior and interactions also involves understanding the properties of the materials involved (13).",24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",13,28,Primary: 24 (Modelling) - The abstract describes theoretical modeling using perturbation theory for dipolar spheres and mean field theory for colloid-polymer mixtures. Secondary: 13 (Properties) - The study investigates phase behavior and dipolar interaction properties of ferrofluid-polymer mixtures. Tertiary: 28 (Stability and other) - The research examines mixture stability and phase behavior under different interaction conditions.
PT335,patent,2002,Heat dissipating voice coil activated valves,An electromechanical valve that includes a cylindrical housing having a first axially disposed chamber containing a valve body and a spool reciprocally mounted in the body for movement along the axis of the housing. A second chamber is located within the housing adjacent to the first chamber which contains a voice coil actuator having a coil holder that is coupled to the spool so that the spool moves linearly when a current is applied to the coil. Materials having a high thermal conductivity are placed in the voice coil actuator for rapidly transmitting heat energy generated in the coil to the housing so that the energy is dissipated into the surrounding ambient before it can damage the actuator.,"[""SILVA GABRIEL""]",US 6427970 B1,46,Application > Heat transfer,47,38,"The abstract describes an electromechanical valve with a focus on heat dissipation, which aligns with heat transfer (46). The mention of a voice coil actuator and its coupling to a spool suggests mechanical components that could relate to bearings or seals (47). The use of a coil and current implies principles of magnetic induction (38).",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",38,26,"Primary 49: This describes an electromechanical valve with voice coil actuator, fitting 'Engineering, Instruments' category. Secondary 38: The voice coil actuator operates on magnetic induction principles. Tertiary 26: Heat dissipation from the coil to housing involves heat transfer considerations."
PT462,patent,2002,Magnetically actuated fluid handling devices for microfluidic applications,"Magnetically actuated fluid handling devices using magnetic fluid to move one or more fluids (gases or liquids or both) through microsized flow channels are provided. Fluid handling devices include micropumps and microvalves. Magnetically actuated slugs of magnetic fluid are moved within microchannels of a microfluidic device to facilitate valving and/or pumping of fluids and no separate pump is required. The magnets used to control fluid movement can be either individual magnets moved along the flow channels or one or more arrays of magnets whose elements can be individually controlled to hold or move a magnetic slug. Fluid handling devices include those having an array of electromagnets positioned along a flow channel which are turned on and off in a predetermined pattern to move magnetic fluid slugs in desired paths in the flow channel. The fluid handling devices of the present invention can handle gases and liquids simultaneously and thus can be made to be self-priming. These devices are more resistant to fluctuations in fluid input than other types of micropumps which need to be tuned to pump either liquid or gas. In a particular embodiment, a micropump having a loop channel containing a stationary magnetic slug and one or more moving slugs is provided.","[""KAMHOLZ ANDREW"", ""HATCH ANSON"", ""BOEHRINGER KARL"", ""YAGER PAUL"", ""WEIGL BERHARD""]",US 6408884 B1,16,Material > Handling of,45,49,"The abstract primarily discusses the handling of magnetic fluids in microfluidic devices, which aligns with code 16 (Handling of). The secondary focus is on the movement and control of fluids within microchannels, which relates to code 45 (Flow). The tertiary aspect involves the application of these devices in digital microfluidics and engineering contexts, fitting code 49 (Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF).",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",45,16,Primary 49 (Digital Micro Fluids) because the abstract describes microfluidic devices using magnetic fluid for micropumps and microvalves with electromagnet arrays for precise control. Secondary 45 (Flow) as the core application involves moving fluids through microchannels and flow control. Tertiary 16 (Handling of) since the document focuses on handling and manipulating magnetic fluid slugs within microfluidic systems.
PT533,patent,2002,Field responsive shear thickening fluid,"An active controllable, shear thickening, field responsive device is disclosed and contains a fluid including a carrier component and at least about 40 percent by volume, based on the total volume of the fluid, of a particle component. The fluid can comprise either a field responsive dispersed particle component or a field responsive carrier. The field responsive dispersed phase fluid comprises magnetic- or electrical-responsive particles having a specified average particle size. When subjected to a predetermined shear rate and, optionally, a predetermined magnetic or electrical field, the shear thickening composition undergoes a dramatic and substantial increase in viscosity and shear stress over a very short time period.","[""JOLLY MARK R"", ""BENDER JONATHAN W""]",US 2002/0171067 A1,13,Material > Properties,12,15,"The abstract primarily discusses the properties of a shear thickening fluid that is responsive to magnetic or electrical fields, indicating a focus on the material properties (13). The mention of the fluid composition, including a carrier and particle component, suggests formulation aspects (12). The description of the fluid's response to shear rates and fields implies manipulation or control of the fluid's behavior (15).",12,Material > Formulation,13,49,"Primary 12 (Formulation) because the abstract describes the composition and formulation of a field responsive fluid with specific particle volume percentages and components. Secondary 13 (Properties) as it focuses on the shear thickening behavior and viscosity changes under field conditions. Tertiary 49 (Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments) as it describes an active controllable device application for engineering purposes."
P2901,paper,2003,Interactions of gravity waves generated by a moving source with the shelf: Laboratory experiment,"Rapidly moving storm crossing the shelf from shallow water to deep water can generate tsunami-like waves which can cause local flooding and damage to docks when the waves hit the coast. We report on laboratory experiments to examine the reflection of waves generated by a moving disturbance from the shelf. Experiments are performed in a two-layer fluid consisting of a layer of oil based ferrofluid lying on top of a layer of water with step bottom. The disturbance is generated by a permanent magnet moving above the surface of ferrofluid. Digital images of the flow are analyzed to obtain the evolution of the wave field. The experimental flows demonstrate two distinct regimes, namely subcritical when the speed of the magnet is less than the phase speed of the wave, and supercritical when the speed of the magnet is greater than the phase speed of the wave. In subcritical regime the disturbance is localized and its size is determined by the spatial extent of the forcing. In supercritical regime the waves form two beams extending at ""Mach angle"" with respect to the direction of motion. Oblique wave incident on the shelf can experience total reflection if the angle between the wave front and the shelf is greater than a critical value.","[""Afanasyev Y.; Korabel V.""]",Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE,45,Application > Flow,14,25,"The primary focus of the abstract is on the flow dynamics of waves generated by a moving disturbance in a ferrofluid system, which aligns with code 45 (Flow). The secondary focus is on the experimental setup and characterization of the wave phenomena, which corresponds to code 14 (Evaluation / Characterization). The tertiary aspect involves the analysis of wave behavior and flow patterns, which relates to code 25 (Flow) under computation.",37,Experimentation > Other than evaluation indicated in class 14,25,49,"Primary 37: This is clearly an experimental study involving laboratory experiments with ferrofluid to examine wave phenomena. Secondary 25: The research focuses on flow dynamics and wave generation/propagation in ferrofluid systems. Tertiary 49: The work involves physics applications of ferrofluid, specifically studying wave mechanics and critical phenomena like subcritical/supercritical regimes."
P2925,paper,2003,Synthesis of Magnetite and Cobalt Ferrite Nanoparticles,"Fe3O4 and CoFe2O4 magnetic nanoparticles have been synthesized successfully in aqueous solution and coated with oleic acid. The solid and organic solution of the synthesized nanoparticles was obtained. Self-assembled monolayer films were formed using organic solution of these nanoparticles. Both of the two nanoparticles are spherical and have narrow size distributions. The crystal sizes determined by Debye-Scherre equation with XRD data were found close to the particle sizes calculated from TEM images, and this indicates that the synthesized nanoparticles are nanocrystalline. The superparamagnetic behavior of the nanoparticles was documented by the hysteresis loop measured at 300K.","[""Zhao S.-Y.; Lee D.K.; Kang Y.S.""]",Molecular Crystals and Liquid Crystals Science and Technology Section A: Molecular Crystals and Liquid Crystals,14,Material > Evaluation / Characterization,13,11,"The abstract primarily focuses on the characterization of magnetic nanoparticles, as evidenced by the use of XRD and TEM to determine crystal and particle sizes, which aligns with code 14 (Evaluation / Characterization). The mention of superparamagnetic behavior and narrow size distributions relates to the properties of the nanoparticles, justifying code 13 (Properties) as secondary. The synthesis of Fe3O4 and CoFe2O4 nanoparticles in aqueous solution and their coating with oleic acid pertains to the chemistry of the materials, supporting code 11 (Chemistry) as tertiary.",12,Material > Formulation,14,13,"The abstract primarily describes the synthesis and formulation of Fe3O4 and CoFe2O4 magnetic nanoparticles with oleic acid coating (class 12). Secondary focus is on characterization methods including XRD, TEM, and magnetic measurements (class 14). Tertiary classification covers the documented properties like superparamagnetic behavior, size distribution, and nanocrystalline structure (class 13)."
P2938,paper,2003,Ferrofluids as Thermal Ratchets,"Colloidal suspensions of ferromagnetic nanoparticles, so-called ferrofluids, are shown to be suitable systems to demonstrate and investigate thermal ratchet behavior: By rectifying thermal fluctuations, angular momentum is transferred to a resting ferrofluid from an oscillating magnetic field without net rotating component. Via viscous coupling the noise driven rotation of the microscopic ferromagnetic grains is transmitted to the carrier liquid to yield a macroscopic torque. For a simple setup we analyze the rotation of the ferrofluid theoretically and show that the results are compatible with the outcome of a simple demonstration experiment. © 2003 The American Physical Society.","[""Engel A.; M\u00fcller H.W.; Reimann P.; Jung A.""]",Physical Review Letters,13,Material > Properties,24,37,"The abstract primarily discusses the properties of ferrofluids, specifically their ability to demonstrate thermal ratchet behavior, which aligns with code 13 (Properties). The theoretical analysis of the rotation of the ferrofluid suggests a focus on modeling, which corresponds to code 24 (Modelling). The mention of a demonstration experiment indicates experimental work beyond characterization, fitting code 37 (Other than evaluation indicated in class 14).",24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",37,49,"Primary 24: The abstract focuses on theoretical analysis and modeling of thermal ratchet behavior in ferrofluids, involving mathematical treatment of angular momentum transfer and viscous coupling mechanisms. Secondary 37: Experimental work is mentioned with a 'demonstration experiment' to validate theoretical results. Tertiary 49: The research involves physics principles related to particle spin and rotation behavior under oscillating magnetic fields, fitting the physics category."
P2941,paper,2003,Structure and magnetic properties of polydisperse ferrofluids: A molecular dynamics study,"The use of molecular dynamic simulations to calculate the equilibrium properties of polydisperse ferrofluid systems was discussed. On varying the volume fraction of the larger particles with total volume fraction remaining constant, the magnetic properties were found to be dependent on the volume fraction of the larger particles. The detailed cluster analysis of the larger particles indicated aggregation as the main cause for this dependency. The average size of the clusters was found to increase with the volume fraction of the larger particles.","[""Wang Z.; Holm C.""]","Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",13,Material > Properties,24,14,"The abstract primarily discusses the equilibrium properties of polydisperse ferrofluid systems, which aligns with the 'Properties' classification (13). The use of molecular dynamic simulations to study these properties suggests a focus on 'Modelling' (24). The detailed cluster analysis of particles for understanding magnetic properties indicates 'Evaluation / Characterization' (14) as a tertiary focus.",24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",13,14,"Primary: 24 (Modelling) - The abstract focuses on molecular dynamic simulations to calculate equilibrium properties, which is computational modeling. Secondary: 13 (Properties) - The study investigates magnetic properties of polydisperse ferrofluid systems. Tertiary: 14 (Evaluation/Characterization) - The work involves detailed cluster analysis and characterization of particle aggregation behavior."
P2950,paper,2003,"Proceedings - 54th International Astronautical Congress of the International Astronautical Federation (IAF), the International Academy of Astronautics and the International Institute of Space Law - Volume 2","The proceedings contain 388 papers from the conference on 54th International Astronautical Congress of the International Astronautical Federation (IAF), the International Academy of Astronautics and the International Institute of Space Law - Volume 2. The topics discussed include: a status report on the characterization of the microgravity environment of the International Space Station; on a more rational specification for the microgravity environment of the International Space Station; thermal transport phenomena in magnetic fluids under microgravity conditions; inertial flight mode and semiconductor segregation patterns; and Microgravity Science Glovebox (MSG) mission status and taxi flight experience.",[],"54th International Astronautical Congress of the International Astronautical Federation (IAF), the International Academy of Astronautics and the International Institute of Space Law",14,Material > Evaluation / Characterization,46,15,"The abstract discusses the characterization of the microgravity environment, which aligns with evaluation/characterization (14). Thermal transport phenomena in magnetic fluids under microgravity conditions suggest a focus on heat transfer (46). The mention of magnetic fluids under microgravity conditions implies manipulation or handling of such fluids (15).",26,Computation > Heat,37,50,"The abstract mentions 'thermal transport phenomena in magnetic fluids under microgravity conditions' as a key topic, making heat transfer modeling (26) the primary focus. The microgravity experimental context suggests experimentation beyond basic evaluation (37) as secondary. The conference proceedings format with multiple papers covering various topics suggests a review/survey nature (50) as tertiary."
P2954,paper,2003,Influence of electromagnetic boundary conditions onto the onset of dynamo action in laboratory experiments,"The influence of electromagnetic boundary conditions on the onset of dynamo action of the Riga and Karlsruhe experiments with the addition of an external wall was studied. A wall of different thickness, conductivity and permeability was considered. The first experiment was monocellular with a dynamo mechanism based on a laminar kinematic approach and the second was multicellular with scale separation between the flow and magnetic field. In Karlsruhe experiments, the addition of an external wall with a conductivity larger than the fluid conductivity or the permeability larger than vacuum led to a reduction of the dynamo instability threshold.","[""Avalos-Zuniga R.; Plunian F.; Gailitis A.""]","Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",28,Computation > Stability and other,24,38,"The abstract focuses on the influence of electromagnetic boundary conditions on dynamo action, which relates to stability and other computational aspects (28). The study involves modeling of electromagnetic boundary conditions and their effects, which aligns with modeling (24). The experiments are based on principles of magnetic induction, relevant to applications using magnetic induction (38).",24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",28,25,"The abstract describes mathematical modeling of dynamo action with boundary conditions, electromagnetic effects, and instability thresholds (primary: 24 - Modelling). The study of dynamo instability threshold reduction relates to stability analysis (secondary: 28 - Stability and other). The mention of laminar kinematic approach and flow-magnetic field interactions indicates flow modeling aspects (tertiary: 25 - Flow)."
P2958,paper,2003,Proceedings of the 13th Korea-Japan Joint Forum on Organic Materials for Electronics and Photonics - Part III of III,The proceedings contain 23 papers from the Proceedings of the 13 th Korea-Japan Joint Forum on Organic Materials for Electronics and Photonics - Part III of III. The topics discussed include: in-situ formation of gold nanoparticle/conducting polymer nanocomposites; characterization of nanostructured organic-inorganic hybrid membranes; synthesis of magnetite and cobalt ferrite nanoparticles; surface plasmon resonance and emitted light properties of polystyrene sphere films; the electrochemical studies on a self-assembled viologen monolayer using quartz crystal microbalance; and surface modification of polymer-coated steel sheet by plasma treatment.,[],Molecular Crystals and Liquid Crystals Science and Technology Section A: Molecular Crystals and Liquid Crystals,14,Material > Evaluation / Characterization,11,13,"The abstract primarily discusses the characterization of nanostructured organic-inorganic hybrid membranes, which aligns with the 'Evaluation / Characterization' category (14). The synthesis of magnetite and cobalt ferrite nanoparticles relates to 'Chemistry' (11), as it involves chemical processes. The mention of properties such as surface plasmon resonance and emitted light properties suggests a focus on 'Properties' (13).",11,Material > Chemistry,14,12,"The abstract describes proceedings covering synthesis of magnetite and cobalt ferrite nanoparticles (chemistry - code 11), characterization of nanostructured materials (evaluation/characterization - code 14), and formation of nanocomposites which relates to formulation aspects (code 12). The primary focus appears to be on the chemical synthesis of magnetic nanoparticles relevant to ferrofluid materials."
